"STATISTIC","Statistic Label","TLIST(A1)","Year","C01409V03262","Type of Material","UNIT","VALUE"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2017","2017","708","All other metal fittings","%","0.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2017","2017","709","All other products","%","4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","-","Materials","%","0.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","601","Stone, sand and gravel","%","-2.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","60161","Sand and gravel","%","-5.5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","60162","Stone","%","-2.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","611","Cement","%","4.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","621","Ready mixed mortar and concrete","%","-0.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","631","Concrete blocks and bricks","%","-0.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","64","Other concrete products including precast","%","0.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","64261","Other concrete products (excluding precast concrete)","%","0.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","64262","Precast concrete","%","2.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","65","Structural steel and reinforcing metal","%","2.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","651","Structural steel","%","2.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","65161","Other structural steel","%","3.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","65162","Structural steel fabricated metal","%","2.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","652","Reinforcing metal","%","2.8"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","653","Other steel products","%","3.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","661","Rough timber (including plain sawn)","%","2.8"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","66161","Rough timber (softwood)","%","2.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","66162","Rough timber (hardwood)","%","1.8"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","671","Machined, treated engineered timber","%","2.8"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","67161","Other treated timber","%","3.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","67162","Wooden windows and doors","%","2.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","68","Bituminous macadam, asphalt and bituminous emulsions","%","-0.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","681","Bituminous macadam and asphalt","%","-0.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","682","Bituminous emulsions","%","7.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","691","Electrical fittings","%","1.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","69162","Lighting equipment","%","0"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","69163","Protection and communication equipment","%","1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","70","All other materials","%","1.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","700","Plumbing materials including sanitary ware","%","2.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","701","HVAC (heating and ventilation equipment)","%","1.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","702","Insulating materials","%","-0.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","703","Pipes and fittings","%","2.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","70371","PVC pipes and fittings","%","3.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","70372","Copper pipes and fittings","%","2.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","704","Plaster","%","4.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","705","Paints, oils and varnishes","%","7.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","706","Glass","%","-4.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","708","All other metal fittings","%","1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2018","2018","709","All other products","%","0.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","-","Materials","%","1.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","601","Stone, sand and gravel","%","0.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","60161","Sand and gravel","%","4.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","60162","Stone","%","0.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","611","Cement","%","5.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","621","Ready mixed mortar and concrete","%","4.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","631","Concrete blocks and bricks","%","1.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","64","Other concrete products including precast","%","1.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","64261","Other concrete products (excluding precast concrete)","%","0.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","64262","Precast concrete","%","2.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","65","Structural steel and reinforcing metal","%","2.8"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","651","Structural steel","%","3.5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","65161","Other structural steel","%","-1.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","65162","Structural steel fabricated metal","%","4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","652","Reinforcing metal","%","1.5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","653","Other steel products","%","1.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","661","Rough timber (including plain sawn)","%","3.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","66161","Rough timber (softwood)","%","3.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","66162","Rough timber (hardwood)","%","6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","671","Machined, treated engineered timber","%","3.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","67161","Other treated timber","%","4.5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","67162","Wooden windows and doors","%","2.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","68","Bituminous macadam, asphalt and bituminous emulsions","%","0.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","681","Bituminous macadam and asphalt","%","0.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","682","Bituminous emulsions","%","0.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","691","Electrical fittings","%","0.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","69162","Lighting equipment","%","0"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","69163","Protection and communication equipment","%","0.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","70","All other materials","%","0.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","700","Plumbing materials including sanitary ware","%","1.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","701","HVAC (heating and ventilation equipment)","%","1.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","702","Insulating materials","%","0.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","703","Pipes and fittings","%","1.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","70371","PVC pipes and fittings","%","2.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","70372","Copper pipes and fittings","%","0.5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","704","Plaster","%","1.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","705","Paints, oils and varnishes","%","6.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","706","Glass","%","-11.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","708","All other metal fittings","%","2.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2019","2019","709","All other products","%","-0.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","-","Materials","%","0.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","601","Stone, sand and gravel","%","-1.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","60161","Sand and gravel","%","-4.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","60162","Stone","%","-0.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","611","Cement","%","5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","621","Ready mixed mortar and concrete","%","1.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","631","Concrete blocks and bricks","%","1.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","64","Other concrete products including precast","%","2.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","64261","Other concrete products (excluding precast concrete)","%","4.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","64262","Precast concrete","%","0.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","65","Structural steel and reinforcing metal","%","-0.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","651","Structural steel","%","-0.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","65161","Other structural steel","%","-4.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","65162","Structural steel fabricated metal","%","0.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","652","Reinforcing metal","%","-1.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","653","Other steel products","%","1.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","661","Rough timber (including plain sawn)","%","-1.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","66161","Rough timber (softwood)","%","-2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","66162","Rough timber (hardwood)","%","0"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","671","Machined, treated engineered timber","%","0.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","67161","Other treated timber","%","0"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","67162","Wooden windows and doors","%","1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","68","Bituminous macadam, asphalt and bituminous emulsions","%","-0.5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","681","Bituminous macadam and asphalt","%","-0.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","682","Bituminous emulsions","%","-5.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","691","Electrical fittings","%","-0.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","69162","Lighting equipment","%","0"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","69163","Protection and communication equipment","%","0.8"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","70","All other materials","%","0.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","700","Plumbing materials including sanitary ware","%","0.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","701","HVAC (heating and ventilation equipment)","%","0.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","702","Insulating materials","%","0.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","703","Pipes and fittings","%","0.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","70371","PVC pipes and fittings","%","0.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","70372","Copper pipes and fittings","%","0.5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","704","Plaster","%","2.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","705","Paints, oils and varnishes","%","3.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","706","Glass","%","-2.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","708","All other metal fittings","%","0"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2020","2020","709","All other products","%","-0.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","-","Materials","%","8.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","601","Stone, sand and gravel","%","2.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","60161","Sand and gravel","%","-0.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","60162","Stone","%","3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","611","Cement","%","4.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","621","Ready mixed mortar and concrete","%","-0.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","631","Concrete blocks and bricks","%","1.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","64","Other concrete products including precast","%","4.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","64261","Other concrete products (excluding precast concrete)","%","6.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","64262","Precast concrete","%","4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","65","Structural steel and reinforcing metal","%","17"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","651","Structural steel","%","6.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","65161","Other structural steel","%","44.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","65162","Structural steel fabricated metal","%","3.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","652","Reinforcing metal","%","35"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","653","Other steel products","%","3.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","661","Rough timber (including plain sawn)","%","43.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","66161","Rough timber (softwood)","%","47.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","66162","Rough timber (hardwood)","%","7.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","671","Machined, treated engineered timber","%","20"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","67161","Other treated timber","%","38.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","67162","Wooden windows and doors","%","4.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","68","Bituminous macadam, asphalt and bituminous emulsions","%","1.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","681","Bituminous macadam and asphalt","%","1.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","682","Bituminous emulsions","%","5.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","691","Electrical fittings","%","14"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","69162","Lighting equipment","%","0"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","69163","Protection and communication equipment","%","2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","70","All other materials","%","5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","700","Plumbing materials including sanitary ware","%","4.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","701","HVAC (heating and ventilation equipment)","%","3.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","702","Insulating materials","%","5.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","703","Pipes and fittings","%","7.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","70371","PVC pipes and fittings","%","9.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","70372","Copper pipes and fittings","%","7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","704","Plaster","%","13.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","705","Paints, oils and varnishes","%","2.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","706","Glass","%","1.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","708","All other metal fittings","%","4.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2021","2021","709","All other products","%","3.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","-","Materials","%","17.5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","601","Stone, sand and gravel","%","9.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","60161","Sand and gravel","%","11.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","60162","Stone","%","9.5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","611","Cement","%","19.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","621","Ready mixed mortar and concrete","%","20.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","631","Concrete blocks and bricks","%","13.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","64","Other concrete products including precast","%","13.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","64261","Other concrete products (excluding precast concrete)","%","10.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","64262","Precast concrete","%","23.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","65","Structural steel and reinforcing metal","%","38.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","651","Structural steel","%","41.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","65161","Other structural steel","%","34.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","65162","Structural steel fabricated metal","%","42.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","652","Reinforcing metal","%","35.8"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","653","Other steel products","%","6.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","661","Rough timber (including plain sawn)","%","14.8"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","66161","Rough timber (softwood)","%","15.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","66162","Rough timber (hardwood)","%","5.5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","671","Machined, treated engineered timber","%","32.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","67161","Other treated timber","%","47.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","67162","Wooden windows and doors","%","17"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","68","Bituminous macadam, asphalt and bituminous emulsions","%","13.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","681","Bituminous macadam and asphalt","%","13.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","682","Bituminous emulsions","%","23.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","691","Electrical fittings","%","9.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","69162","Lighting equipment","%","0"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","69163","Protection and communication equipment","%","5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","70","All other materials","%","14.5"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","700","Plumbing materials including sanitary ware","%","21.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","701","HVAC (heating and ventilation equipment)","%","5.2"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","702","Insulating materials","%","15.6"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","703","Pipes and fittings","%","19.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","70371","PVC pipes and fittings","%","25.3"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","70372","Copper pipes and fittings","%","16.9"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","704","Plaster","%","25.4"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","705","Paints, oils and varnishes","%","13"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","706","Glass","%","5.7"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","708","All other metal fittings","%","2.1"
"WPA15C02","Percentage Change over 12 months in Wholesale Price Index","2022","2022","709","All other products","%","12.1"
