"Statistic Label","Quarter","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Persons aged 15-89 years in Employment","2021Q3","Female","Agriculture, forestry and fishing (A)","Thousand","15"
"Persons aged 15-89 years in Employment","2021Q3","Female","Construction (F)","Thousand","12.1"
"Persons aged 15-89 years in Employment","2021Q3","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","157"
"Persons aged 15-89 years in Employment","2021Q3","Female","Transportation and storage (H)","Thousand","22.7"
"Persons aged 15-89 years in Employment","2021Q3","Female","Accommodation and food service activities (I)","Thousand","95.3"
"Persons aged 15-89 years in Employment","2021Q3","Female","Information and communication (J)","Thousand","45.7"
"Persons aged 15-89 years in Employment","2021Q3","Female","Professional, scientific and technical activities (M)","Thousand","75.6"
"Persons aged 15-89 years in Employment","2021Q3","Female","Administrative and support service activities (N)","Thousand","40.2"
"Persons aged 15-89 years in Employment","2021Q3","Female","Public administration and defence, compulsory social security (O)","Thousand","66.4"
"Persons aged 15-89 years in Employment","2021Q3","Female","Education (P)","Thousand","151.1"
"Persons aged 15-89 years in Employment","2021Q3","Female","Human health and social work activities (Q)","Thousand","239.9"
"Persons aged 15-89 years in Employment","2021Q3","Female","Industry (B to E)","Thousand","94.1"
"Persons aged 15-89 years in Employment","2021Q3","Female","Industry and Construction (B to F)","Thousand","106.2"
"Persons aged 15-89 years in Employment","2021Q3","Female","Services (G to U)","Thousand","1031.5"
"Persons aged 15-89 years in Employment","2021Q3","Female","Financial, insurance and real estate activities (K,L)","Thousand","67.5"
"Persons aged 15-89 years in Employment","2021Q3","Female","Other NACE activities (R to U)","Thousand","70.1"
"Persons aged 15-89 years in Employment","2021Q3","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","All NACE economic sectors","Thousand","2506"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Agriculture, forestry and fishing (A)","Thousand","106.8"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Construction (F)","Thousand","158.3"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","306"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Transportation and storage (H)","Thousand","105.5"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Accommodation and food service activities (I)","Thousand","161.7"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Information and communication (J)","Thousand","166.8"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Professional, scientific and technical activities (M)","Thousand","173.3"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Administrative and support service activities (N)","Thousand","95.5"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","133.8"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Education (P)","Thousand","211.5"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Human health and social work activities (Q)","Thousand","319.6"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Industry (B to E)","Thousand","314.1"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Industry and Construction (B to F)","Thousand","472.4"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Services (G to U)","Thousand","1919.4"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","132.8"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Other NACE activities (R to U)","Thousand","113"
"Persons aged 15-89 years in Employment","2021Q4","Both sexes","Not stated","Thousand","7.4"
"Persons aged 15-89 years in Employment","2021Q4","Male","All NACE economic sectors","Thousand","1328.1"
"Persons aged 15-89 years in Employment","2021Q4","Male","Agriculture, forestry and fishing (A)","Thousand","92.2"
"Persons aged 15-89 years in Employment","2021Q4","Male","Construction (F)","Thousand","143.8"
"Persons aged 15-89 years in Employment","2021Q4","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","159.6"
"Persons aged 15-89 years in Employment","2021Q4","Male","Transportation and storage (H)","Thousand","82.1"
"Persons aged 15-89 years in Employment","2021Q4","Male","Accommodation and food service activities (I)","Thousand","65.2"
"Persons aged 15-89 years in Employment","2021Q4","Male","Information and communication (J)","Thousand","114.2"
"Persons aged 15-89 years in Employment","2021Q4","Male","Professional, scientific and technical activities (M)","Thousand","87.4"
"Persons aged 15-89 years in Employment","2021Q4","Male","Administrative and support service activities (N)","Thousand","56.4"
"Persons aged 15-89 years in Employment","2021Q4","Male","Public administration and defence, compulsory social security (O)","Thousand","61.5"
"Persons aged 15-89 years in Employment","2021Q4","Male","Education (P)","Thousand","59.5"
"Persons aged 15-89 years in Employment","2021Q4","Male","Human health and social work activities (Q)","Thousand","65.6"
"Persons aged 15-89 years in Employment","2021Q4","Male","Industry (B to E)","Thousand","216"
"Persons aged 15-89 years in Employment","2021Q4","Male","Industry and Construction (B to F)","Thousand","359.8"
"Persons aged 15-89 years in Employment","2021Q4","Male","Services (G to U)","Thousand","872.6"
"Persons aged 15-89 years in Employment","2021Q4","Male","Financial, insurance and real estate activities (K,L)","Thousand","71.9"
"Persons aged 15-89 years in Employment","2021Q4","Male","Other NACE activities (R to U)","Thousand","49.3"
"Persons aged 15-89 years in Employment","2021Q4","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2021Q4","Female","All NACE economic sectors","Thousand","1177.9"
"Persons aged 15-89 years in Employment","2021Q4","Female","Agriculture, forestry and fishing (A)","Thousand","14.6"
"Persons aged 15-89 years in Employment","2021Q4","Female","Construction (F)","Thousand","14.5"
"Persons aged 15-89 years in Employment","2021Q4","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","146.4"
"Persons aged 15-89 years in Employment","2021Q4","Female","Transportation and storage (H)","Thousand","23.5"
"Persons aged 15-89 years in Employment","2021Q4","Female","Accommodation and food service activities (I)","Thousand","96.5"
"Persons aged 15-89 years in Employment","2021Q4","Female","Information and communication (J)","Thousand","52.6"
"Persons aged 15-89 years in Employment","2021Q4","Female","Professional, scientific and technical activities (M)","Thousand","85.8"
"Persons aged 15-89 years in Employment","2021Q4","Female","Administrative and support service activities (N)","Thousand","39.1"
"Persons aged 15-89 years in Employment","2021Q4","Female","Public administration and defence, compulsory social security (O)","Thousand","72.3"
"Persons aged 15-89 years in Employment","2021Q4","Female","Education (P)","Thousand","152"
"Persons aged 15-89 years in Employment","2021Q4","Female","Human health and social work activities (Q)","Thousand","254"
"Persons aged 15-89 years in Employment","2021Q4","Female","Industry (B to E)","Thousand","98.1"
"Persons aged 15-89 years in Employment","2021Q4","Female","Industry and Construction (B to F)","Thousand","112.5"
"Persons aged 15-89 years in Employment","2021Q4","Female","Services (G to U)","Thousand","1046.8"
"Persons aged 15-89 years in Employment","2021Q4","Female","Financial, insurance and real estate activities (K,L)","Thousand","60.9"
"Persons aged 15-89 years in Employment","2021Q4","Female","Other NACE activities (R to U)","Thousand","63.7"
"Persons aged 15-89 years in Employment","2021Q4","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","All NACE economic sectors","Thousand","2505.8"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Agriculture, forestry and fishing (A)","Thousand","103.5"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Construction (F)","Thousand","159.3"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","301.9"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Transportation and storage (H)","Thousand","113.2"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Accommodation and food service activities (I)","Thousand","162.6"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Information and communication (J)","Thousand","163.6"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Professional, scientific and technical activities (M)","Thousand","162.3"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Administrative and support service activities (N)","Thousand","102.3"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","133.7"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Education (P)","Thousand","211"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Human health and social work activities (Q)","Thousand","325.2"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Industry (B to E)","Thousand","315.2"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Industry and Construction (B to F)","Thousand","474.6"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Services (G to U)","Thousand","1920.2"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","135.3"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Other NACE activities (R to U)","Thousand","109.3"
"Persons aged 15-89 years in Employment","2022Q1","Both sexes","Not stated","Thousand","7.5"
"Persons aged 15-89 years in Employment","2022Q1","Male","All NACE economic sectors","Thousand","1331"
"Persons aged 15-89 years in Employment","2022Q1","Male","Agriculture, forestry and fishing (A)","Thousand","88.1"
"Persons aged 15-89 years in Employment","2022Q1","Male","Construction (F)","Thousand","147"
"Persons aged 15-89 years in Employment","2022Q1","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","153.4"
"Persons aged 15-89 years in Employment","2022Q1","Male","Transportation and storage (H)","Thousand","92"
"Persons aged 15-89 years in Employment","2022Q1","Male","Accommodation and food service activities (I)","Thousand","67"
"Persons aged 15-89 years in Employment","2022Q1","Male","Information and communication (J)","Thousand","114.8"
"Persons aged 15-89 years in Employment","2022Q1","Male","Professional, scientific and technical activities (M)","Thousand","84.8"
"Persons aged 15-89 years in Employment","2022Q1","Male","Administrative and support service activities (N)","Thousand","58.6"
"Persons aged 15-89 years in Employment","2022Q1","Male","Public administration and defence, compulsory social security (O)","Thousand","61.1"
"Persons aged 15-89 years in Employment","2022Q1","Male","Education (P)","Thousand","56"
"Persons aged 15-89 years in Employment","2022Q1","Male","Human health and social work activities (Q)","Thousand","70.9"
"Persons aged 15-89 years in Employment","2022Q1","Male","Industry (B to E)","Thousand","216.7"
"Persons aged 15-89 years in Employment","2022Q1","Male","Industry and Construction (B to F)","Thousand","363.7"
"Persons aged 15-89 years in Employment","2022Q1","Male","Services (G to U)","Thousand","874.2"
"Persons aged 15-89 years in Employment","2022Q1","Male","Financial, insurance and real estate activities (K,L)","Thousand","70.3"
"Persons aged 15-89 years in Employment","2022Q1","Male","Other NACE activities (R to U)","Thousand","45.3"
"Persons aged 15-89 years in Employment","2022Q1","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2022Q1","Female","All NACE economic sectors","Thousand","1174.7"
"Persons aged 15-89 years in Employment","2022Q1","Female","Agriculture, forestry and fishing (A)","Thousand","15.5"
"Persons aged 15-89 years in Employment","2022Q1","Female","Construction (F)","Thousand","12.3"
"Persons aged 15-89 years in Employment","2022Q1","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","148.4"
"Persons aged 15-89 years in Employment","2022Q1","Female","Transportation and storage (H)","Thousand","21.2"
"Persons aged 15-89 years in Employment","2022Q1","Female","Accommodation and food service activities (I)","Thousand","95.6"
"Persons aged 15-89 years in Employment","2022Q1","Female","Information and communication (J)","Thousand","48.8"
"Persons aged 15-89 years in Employment","2022Q1","Female","Professional, scientific and technical activities (M)","Thousand","77.5"
"Persons aged 15-89 years in Employment","2022Q1","Female","Administrative and support service activities (N)","Thousand","43.7"
"Persons aged 15-89 years in Employment","2022Q1","Female","Public administration and defence, compulsory social security (O)","Thousand","72.6"
"Persons aged 15-89 years in Employment","2022Q1","Female","Education (P)","Thousand","154.9"
"Persons aged 15-89 years in Employment","2022Q1","Female","Human health and social work activities (Q)","Thousand","254.3"
"Persons aged 15-89 years in Employment","2022Q1","Female","Industry (B to E)","Thousand","98.5"
"Persons aged 15-89 years in Employment","2022Q1","Female","Industry and Construction (B to F)","Thousand","110.9"
"Persons aged 15-89 years in Employment","2022Q1","Female","Services (G to U)","Thousand","1046"
"Persons aged 15-89 years in Employment","2022Q1","Female","Financial, insurance and real estate activities (K,L)","Thousand","65"
"Persons aged 15-89 years in Employment","2022Q1","Female","Other NACE activities (R to U)","Thousand","64"
"Persons aged 15-89 years in Employment","2022Q1","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","All NACE economic sectors","Thousand","2554.6"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Agriculture, forestry and fishing (A)","Thousand","105.8"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Construction (F)","Thousand","167.3"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","321.2"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Transportation and storage (H)","Thousand","110.9"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Accommodation and food service activities (I)","Thousand","168.2"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Information and communication (J)","Thousand","164.9"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Professional, scientific and technical activities (M)","Thousand","166.7"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Administrative and support service activities (N)","Thousand","105.9"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","127.2"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Education (P)","Thousand","215.5"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Human health and social work activities (Q)","Thousand","331.1"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Industry (B to E)","Thousand","321.1"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Industry and Construction (B to F)","Thousand","488.4"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Services (G to U)","Thousand","1951.3"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","130.9"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Other NACE activities (R to U)","Thousand","108.6"
"Persons aged 15-89 years in Employment","2022Q2","Both sexes","Not stated","Thousand","9.1"
"Persons aged 15-89 years in Employment","2022Q2","Male","All NACE economic sectors","Thousand","1360.2"
"Persons aged 15-89 years in Employment","2022Q2","Male","Agriculture, forestry and fishing (A)","Thousand","90.9"
"Persons aged 15-89 years in Employment","2022Q2","Male","Construction (F)","Thousand","151.8"
"Persons aged 15-89 years in Employment","2022Q2","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","164.5"
"Persons aged 15-89 years in Employment","2022Q2","Male","Transportation and storage (H)","Thousand","89"
"Persons aged 15-89 years in Employment","2022Q2","Male","Accommodation and food service activities (I)","Thousand","72.9"
"Persons aged 15-89 years in Employment","2022Q2","Male","Information and communication (J)","Thousand","114.8"
"Persons aged 15-89 years in Employment","2022Q2","Male","Professional, scientific and technical activities (M)","Thousand","90.8"
"Persons aged 15-89 years in Employment","2022Q2","Male","Administrative and support service activities (N)","Thousand","61"
"Persons aged 15-89 years in Employment","2022Q2","Male","Public administration and defence, compulsory social security (O)","Thousand","59.1"
"Persons aged 15-89 years in Employment","2022Q2","Male","Education (P)","Thousand","57.3"
"Persons aged 15-89 years in Employment","2022Q2","Male","Human health and social work activities (Q)","Thousand","71.2"
"Persons aged 15-89 years in Employment","2022Q2","Male","Industry (B to E)","Thousand","222.4"
"Persons aged 15-89 years in Employment","2022Q2","Male","Industry and Construction (B to F)","Thousand","374.2"
"Persons aged 15-89 years in Employment","2022Q2","Male","Services (G to U)","Thousand","890.2"
"Persons aged 15-89 years in Employment","2022Q2","Male","Financial, insurance and real estate activities (K,L)","Thousand","66.8"
"Persons aged 15-89 years in Employment","2022Q2","Male","Other NACE activities (R to U)","Thousand","42.7"
"Persons aged 15-89 years in Employment","2022Q2","Male","Not stated","Thousand","4.8"
"Persons aged 15-89 years in Employment","2022Q2","Female","All NACE economic sectors","Thousand","1194.4"
"Persons aged 15-89 years in Employment","2022Q2","Female","Agriculture, forestry and fishing (A)","Thousand","14.9"
"Persons aged 15-89 years in Employment","2022Q2","Female","Construction (F)","Thousand","15.5"
"Persons aged 15-89 years in Employment","2022Q2","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","156.7"
"Persons aged 15-89 years in Employment","2022Q2","Female","Transportation and storage (H)","Thousand","21.9"
"Persons aged 15-89 years in Employment","2022Q2","Female","Accommodation and food service activities (I)","Thousand","95.3"
"Persons aged 15-89 years in Employment","2022Q2","Female","Information and communication (J)","Thousand","50.1"
"Persons aged 15-89 years in Employment","2022Q2","Female","Professional, scientific and technical activities (M)","Thousand","75.8"
"Persons aged 15-89 years in Employment","2022Q2","Female","Administrative and support service activities (N)","Thousand","45"
"Persons aged 15-89 years in Employment","2022Q2","Female","Public administration and defence, compulsory social security (O)","Thousand","68.1"
"Persons aged 15-89 years in Employment","2022Q2","Female","Education (P)","Thousand","158.2"
"Persons aged 15-89 years in Employment","2022Q2","Female","Human health and social work activities (Q)","Thousand","259.9"
"Persons aged 15-89 years in Employment","2022Q2","Female","Industry (B to E)","Thousand","98.8"
"Persons aged 15-89 years in Employment","2022Q2","Female","Industry and Construction (B to F)","Thousand","114.3"
"Persons aged 15-89 years in Employment","2022Q2","Female","Services (G to U)","Thousand","1061"
"Persons aged 15-89 years in Employment","2022Q2","Female","Financial, insurance and real estate activities (K,L)","Thousand","64.1"
"Persons aged 15-89 years in Employment","2022Q2","Female","Other NACE activities (R to U)","Thousand","65.9"
"Persons aged 15-89 years in Employment","2022Q2","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","All NACE economic sectors","Thousand","2554.3"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Agriculture, forestry and fishing (A)","Thousand","94.6"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Construction (F)","Thousand","171"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","315.3"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Transportation and storage (H)","Thousand","108.5"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Accommodation and food service activities (I)","Thousand","170"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Information and communication (J)","Thousand","159.5"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Professional, scientific and technical activities (M)","Thousand","165.7"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Administrative and support service activities (N)","Thousand","110.9"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","132.2"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Education (P)","Thousand","206.3"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Human health and social work activities (Q)","Thousand","336.6"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Industry (B to E)","Thousand","330.4"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Industry and Construction (B to F)","Thousand","501.4"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Services (G to U)","Thousand","1947.9"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","127.4"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Other NACE activities (R to U)","Thousand","115.6"
"Persons aged 15-89 years in Employment","2022Q3","Both sexes","Not stated","Thousand","10.4"
"Persons aged 15-89 years in Employment","2022Q3","Male","All NACE economic sectors","Thousand","1371.8"
"Persons aged 15-89 years in Employment","2022Q3","Male","Agriculture, forestry and fishing (A)","Thousand","82.8"
"Persons aged 15-89 years in Employment","2022Q3","Male","Construction (F)","Thousand","155.3"
"Persons aged 15-89 years in Employment","2022Q3","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","162.8"
"Persons aged 15-89 years in Employment","2022Q3","Male","Transportation and storage (H)","Thousand","87.5"
"Persons aged 15-89 years in Employment","2022Q3","Male","Accommodation and food service activities (I)","Thousand","77.1"
"Persons aged 15-89 years in Employment","2022Q3","Male","Information and communication (J)","Thousand","111.1"
"Persons aged 15-89 years in Employment","2022Q3","Male","Professional, scientific and technical activities (M)","Thousand","97.6"
"Persons aged 15-89 years in Employment","2022Q3","Male","Administrative and support service activities (N)","Thousand","66.3"
"Persons aged 15-89 years in Employment","2022Q3","Male","Public administration and defence, compulsory social security (O)","Thousand","64.1"
"Persons aged 15-89 years in Employment","2022Q3","Male","Education (P)","Thousand","51.9"
"Persons aged 15-89 years in Employment","2022Q3","Male","Human health and social work activities (Q)","Thousand","70.8"
"Persons aged 15-89 years in Employment","2022Q3","Male","Industry (B to E)","Thousand","227.8"
"Persons aged 15-89 years in Employment","2022Q3","Male","Industry and Construction (B to F)","Thousand","383.1"
"Persons aged 15-89 years in Employment","2022Q3","Male","Services (G to U)","Thousand","900.7"
"Persons aged 15-89 years in Employment","2022Q3","Male","Financial, insurance and real estate activities (K,L)","Thousand","69.2"
"Persons aged 15-89 years in Employment","2022Q3","Male","Other NACE activities (R to U)","Thousand","42.4"
"Persons aged 15-89 years in Employment","2022Q3","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2022Q3","Female","All NACE economic sectors","Thousand","1182.5"
"Persons aged 15-89 years in Employment","2022Q3","Female","Agriculture, forestry and fishing (A)","Thousand","11.8"
"Persons aged 15-89 years in Employment","2022Q3","Female","Construction (F)","Thousand","15.7"
"Persons aged 15-89 years in Employment","2022Q3","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","152.5"
"Persons aged 15-89 years in Employment","2022Q3","Female","Transportation and storage (H)","Thousand","21"
"Persons aged 15-89 years in Employment","2022Q3","Female","Accommodation and food service activities (I)","Thousand","92.9"
"Persons aged 15-89 years in Employment","2022Q3","Female","Information and communication (J)","Thousand","48.4"
"Persons aged 15-89 years in Employment","2022Q3","Female","Professional, scientific and technical activities (M)","Thousand","68.2"
"Persons aged 15-89 years in Employment","2022Q3","Female","Administrative and support service activities (N)","Thousand","44.6"
"Persons aged 15-89 years in Employment","2022Q3","Female","Public administration and defence, compulsory social security (O)","Thousand","68.1"
"Persons aged 15-89 years in Employment","2022Q3","Female","Education (P)","Thousand","154.4"
"Persons aged 15-89 years in Employment","2022Q3","Female","Human health and social work activities (Q)","Thousand","265.7"
"Persons aged 15-89 years in Employment","2022Q3","Female","Industry (B to E)","Thousand","102.6"
"Persons aged 15-89 years in Employment","2022Q3","Female","Industry and Construction (B to F)","Thousand","118.3"
"Persons aged 15-89 years in Employment","2022Q3","Female","Services (G to U)","Thousand","1047.2"
"Persons aged 15-89 years in Employment","2022Q3","Female","Financial, insurance and real estate activities (K,L)","Thousand","58.2"
"Persons aged 15-89 years in Employment","2022Q3","Female","Other NACE activities (R to U)","Thousand","73.2"
"Persons aged 15-89 years in Employment","2022Q3","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","All NACE economic sectors","Thousand","2574.5"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Agriculture, forestry and fishing (A)","Thousand","100.8"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Construction (F)","Thousand","163.2"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","320.3"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Transportation and storage (H)","Thousand","113.1"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Accommodation and food service activities (I)","Thousand","170.4"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Information and communication (J)","Thousand","164.6"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Professional, scientific and technical activities (M)","Thousand","170.7"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Administrative and support service activities (N)","Thousand","110"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","137.5"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Education (P)","Thousand","204.9"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Human health and social work activities (Q)","Thousand","336.5"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Industry (B to E)","Thousand","323"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Industry and Construction (B to F)","Thousand","486.2"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Services (G to U)","Thousand","1978.4"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","132.7"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Other NACE activities (R to U)","Thousand","117.7"
"Persons aged 15-89 years in Employment","2022Q4","Both sexes","Not stated","Thousand","9.2"
"Persons aged 15-89 years in Employment","2022Q4","Male","All NACE economic sectors","Thousand","1368.5"
"Persons aged 15-89 years in Employment","2022Q4","Male","Agriculture, forestry and fishing (A)","Thousand","83.4"
"Persons aged 15-89 years in Employment","2022Q4","Male","Construction (F)","Thousand","146.3"
"Persons aged 15-89 years in Employment","2022Q4","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","161"
"Persons aged 15-89 years in Employment","2022Q4","Male","Transportation and storage (H)","Thousand","88.5"
"Persons aged 15-89 years in Employment","2022Q4","Male","Accommodation and food service activities (I)","Thousand","85.3"
"Persons aged 15-89 years in Employment","2022Q4","Male","Information and communication (J)","Thousand","108.6"
"Persons aged 15-89 years in Employment","2022Q4","Male","Professional, scientific and technical activities (M)","Thousand","99.3"
"Persons aged 15-89 years in Employment","2022Q4","Male","Administrative and support service activities (N)","Thousand","59.5"
"Persons aged 15-89 years in Employment","2022Q4","Male","Public administration and defence, compulsory social security (O)","Thousand","67.3"
"Persons aged 15-89 years in Employment","2022Q4","Male","Education (P)","Thousand","53.1"
"Persons aged 15-89 years in Employment","2022Q4","Male","Human health and social work activities (Q)","Thousand","72.2"
"Persons aged 15-89 years in Employment","2022Q4","Male","Industry (B to E)","Thousand","226.3"
"Persons aged 15-89 years in Employment","2022Q4","Male","Industry and Construction (B to F)","Thousand","372.6"
"Persons aged 15-89 years in Employment","2022Q4","Male","Services (G to U)","Thousand","907"
"Persons aged 15-89 years in Employment","2022Q4","Male","Financial, insurance and real estate activities (K,L)","Thousand","69.6"
"Persons aged 15-89 years in Employment","2022Q4","Male","Other NACE activities (R to U)","Thousand","42.6"
"Persons aged 15-89 years in Employment","2022Q4","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2022Q4","Female","All NACE economic sectors","Thousand","1206"
"Persons aged 15-89 years in Employment","2022Q4","Female","Agriculture, forestry and fishing (A)","Thousand","17.3"
"Persons aged 15-89 years in Employment","2022Q4","Female","Construction (F)","Thousand","16.9"
"Persons aged 15-89 years in Employment","2022Q4","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","159.4"
"Persons aged 15-89 years in Employment","2022Q4","Female","Transportation and storage (H)","Thousand","24.6"
"Persons aged 15-89 years in Employment","2022Q4","Female","Accommodation and food service activities (I)","Thousand","85.1"
"Persons aged 15-89 years in Employment","2022Q4","Female","Information and communication (J)","Thousand","56"
"Persons aged 15-89 years in Employment","2022Q4","Female","Professional, scientific and technical activities (M)","Thousand","71.4"
"Persons aged 15-89 years in Employment","2022Q4","Female","Administrative and support service activities (N)","Thousand","50.4"
"Persons aged 15-89 years in Employment","2022Q4","Female","Public administration and defence, compulsory social security (O)","Thousand","70.2"
"Persons aged 15-89 years in Employment","2022Q4","Female","Education (P)","Thousand","151.8"
"Persons aged 15-89 years in Employment","2022Q4","Female","Human health and social work activities (Q)","Thousand","264.3"
